Geneid	Control_1	Control_2	Treat_1	Treat_2
ENSDARG00000099104	27714	32282	28535	30054
ENSDARG00000102407	231	178	227	229
ENSDARG00000102097	429	415	579	1041
ENSDARG00000099319	2	0	2	9
ENSDARG00000099640	497	580	769	804
ENSDARG00000104071	704	867	553	533
ENSDARG00000102746	237	206	295	312
ENSDARG00000103929	566	564	800	963
ENSDARG00000101073	53	57	66	64
ENSDARG00000100223	1722	1770	842	969
ENSDARG00000096573	1	1	1	0
ENSDARG00000100782	199	100	308	404
ENSDARG00000034862	449	328	569	578
ENSDARG00000075827	149	89	135	151
ENSDARG00000088581	1772	1219	1458	1566
ENSDARG00000076900	258	204	358	381
ENSDARG00000013802	623	710	840	754
ENSDARG00000096578	2642	3050	2235	2149
ENSDARG00000100181	789	883	701	773
ENSDARG00000029936	596	605	575	594
ENSDARG00000099192	4	0	3	0
ENSDARG00000099484	0	2	0	0
ENSDARG00000041589	155	132	146	101
ENSDARG00000041592	1283	1383	1470	1534
ENSDARG00000075108	305	295	264	315
ENSDARG00000016304	498	505	511	458
ENSDARG00000058803	1308	1649	1846	1635
ENSDARG00000063385	475	563	1048	794
ENSDARG00000007804	1041	1084	1149	1105
ENSDARG00000068261	718	739	610	640
ENSDARG00000063371	1629	1779	1491	1334
ENSDARG00000078751	1038	1108	1176	1110
ENSDARG00000078878	146	101	110	118
ENSDARG00000016343	384	339	450	429
ENSDARG00000023678	515	611	442	500
ENSDARG00000011299	986	796	1112	1117
ENSDARG00000041575	325	416	312	294
ENSDARG00000058962	284	355	314	311
ENSDARG00000089799	21	6	13	13
ENSDARG00000075325	1373	1658	2126	2053
ENSDARG00000041570	671	845	861	764
ENSDARG00000058991	248	229	287	284
ENSDARG00000081781	0	0	0	0
ENSDARG00000058996	546	510	675	685
ENSDARG00000014313	4674	6095	5056	4916
ENSDARG00000104279	11401	11374	14268	13149
ENSDARG00000103783	348	407	480	471
ENSDARG00000103519	1423	1743	2271	1980
ENSDARG00000100307	291	403	233	217
ENSDARG00000035776	317	389	390	353
ENSDARG00000103469	0	0	0	0
ENSDARG00000104202	0	0	0	0
ENSDARG00000087646	15	13	12	13
ENSDARG00000080051	0	0	2	0
ENSDARG00000067781	71	63	35	33
ENSDARG00000099108	348	402	319	255
ENSDARG00000002791	12640	12931	14869	13953
ENSDARG00000001870	16827	16236	16722	16886
ENSDARG00000007739	2980	2816	3463	3262
ENSDARG00000039131	1056	1054	1174	1053
ENSDARG00000040252	268	352	733	503
ENSDARG00000089477	399	474	555	492
ENSDARG00000093102	0	0	0	0
ENSDARG00000095102	17	7	8	13
ENSDARG00000040250	13	12	22	19
ENSDARG00000075505	127	97	51	41
ENSDARG00000010376	2	0	2	0
ENSDARG00000033684	2	10	22	47
ENSDARG00000040247	0	2	0	2
ENSDARG00000078743	0	2	2	2
ENSDARG00000018460	2789	2983	2967	2599
ENSDARG00000040246	86	99	103	66
ENSDARG00000040245	4389	5872	6032	5321
ENSDARG00000082290	0	0	0	0
ENSDARG00000074381	2478	2612	2439	2103
ENSDARG00000095179	2	8	0	0
ENSDARG00000084484	2	0	0	0
ENSDARG00000070579	0	0	0	0
ENSDARG00000038248	114	285	0	0
ENSDARG00000070581	158	406	19	10
ENSDARG00000096559	0	0	0	0
ENSDARG00000086960	54	63	31	30
ENSDARG00000103647	153	153	153	138
ENSDARG00000088916	0	0	0	0
ENSDARG00000098769	1070	1099	927	865
ENSDARG00000104115	0	0	0	0
ENSDARG00000102013	0	0	0	0
ENSDARG00000082581	0	0	0	0
ENSDARG00000078308	2372	2723	2278	2333
ENSDARG00000033928	5058	5480	5374	4867
ENSDARG00000031164	8990	10802	9285	8902
ENSDARG00000037777	334	339	418	365
ENSDARG00000016706	1927	1142	1656	1816
ENSDARG00000030350	30	14	38	45
ENSDARG00000006526	14636	14852	22155	20494
ENSDARG00000077688	642	587	659	607
ENSDARG00000096546	2346	2394	2319	2165
ENSDARG00000092671	492	521	442	449
ENSDARG00000063297	580	375	352	352
ENSDARG00000027078	2515	2842	2972	2625
ENSDARG00000017537	286	248	212	164
ENSDARG00000063270	1227	1180	1174	965
ENSDARG00000018008	24	23	40	27
ENSDARG00000074031	870	1032	808	798
ENSDARG00000043247	556	673	593	557
ENSDARG00000063253	1236	1515	1171	938
ENSDARG00000073857	403	417	482	344
ENSDARG00000070558	161	152	143	129
ENSDARG00000025754	905	1133	1160	955
ENSDARG00000096530	10	19	8	15
ENSDARG00000063207	227	254	197	186
ENSDARG00000095087	0	0	0	0
ENSDARG00000096610	0	0	0	0
ENSDARG00000102217	0	0	0	0
ENSDARG00000090408	143	160	174	103
ENSDARG00000013741	1201	1197	1317	1199
ENSDARG00000017441	169899	258652	178835	154723
ENSDARG00000037713	1511	1676	1334	1321
ENSDARG00000021688	5	37	14	30
ENSDARG00000004953	6	20	2	1
ENSDARG00000074050	294	263	297	295
ENSDARG00000018319	2110	2085	1759	1875
ENSDARG00000098730	468	536	423	397
ENSDARG00000096630	0	0	0	2
ENSDARG00000079779	228	247	257	183
ENSDARG00000089090	99	115	85	68
ENSDARG00000086351	16	20	10	9
ENSDARG00000086157	17	17	4	11
ENSDARG00000088129	0	0	1	3
ENSDARG00000093857	0	40	11	16
ENSDARG00000095309	0	2	8	10
ENSDARG00000095673	5	6	3	0
ENSDARG00000092361	241	191	161	257
ENSDARG00000103767	0	0	0	0
ENSDARG00000075791	4	3	1	0
ENSDARG00000029720	11	79	4	22
ENSDARG00000100166	3353	3862	3194	2498
ENSDARG00000074212	161	136	132	130
ENSDARG00000062929	446	533	550	544
ENSDARG00000022668	113	164	120	85
ENSDARG00000099708	99	106	101	81
ENSDARG00000025034	1562	1710	1430	1377
ENSDARG00000078474	79	42	36	41
ENSDARG00000096583	0	2	0	0
ENSDARG00000063003	213	234	229	225
ENSDARG00000002377	644	707	650	726
ENSDARG00000015803	94	115	206	181
ENSDARG00000037739	444	450	421	439
ENSDARG00000076176	488	496	555	530
ENSDARG00000096526	4	7	0	0
ENSDARG00000096599	59	155	6	3
ENSDARG00000100771	15	2	0	0
ENSDARG00000079873	373	308	346	283
ENSDARG00000079332	8	9	56	102
ENSDARG00000007443	217	211	251	190
ENSDARG00000037746	68377	66555	79418	87225
ENSDARG00000104252	0	0	0	0
ENSDARG00000037747	1127	924	861	933
ENSDARG00000079361	291	271	729	602
ENSDARG00000012458	5403	6227	5611	5488
ENSDARG00000070543	1167	1359	1191	1034
